Model,Souce,Comment,dependable,lasts long,value for money,quality fit and finish,attractive styling,safe,retains resale value,driver comfort,fun to drive,advanced features,responsive handling,prestigious,dealerships,fuel efficient,quick acceleration,environmentally friendly,affordable
Rogue,Cars,I’ve had my 2021 Rogue SL with the premium package for a month now. What a change from previous Nissans!  I love all the technology and convenient features. The 9 inch touch screen is responsive and very easy to see in bright sun. Love the panoramic sunroof and the quality of the interior. The seats are so comfortable. Ride quality is improved. People who complain about a 2.5 with a CVT should not be shopping for 4 cylinder SUV. Who cares how fast it gets to 60 mph?  This SUV in sport mode does just fine when needed. I have to say this has much more responsive acceleration off the line than my Murano had but I get much better fuel economy. I usually drive mine in auto or eco modes to take advantage of the better mpg. I give Nissan huge kudos and was happy to get this 2.5 4 cylinder since 2022s are all 1.5 turbo 3 cylinders.  Yes better gas mileage but the 2.5 is proven and solid.,0.9972782731056213,0.9620943665504456,0.9933649897575378,0.9986637830734253,0.9928646087646484,0.9683712720870972,0.9918584227561951,0.9334703683853149,0.9985091090202332,0.9973015189170837,0.9990532994270325,0.9956167936325073,0.1668737232685089,0.9988324046134949,0.9922564029693604,0.9985998272895813,0.5563003420829773
Rogue,Cars,"I have to preface this by saying I purchased another new car recently and it ended up being a Lemon which the manufacturer repurchased (or is repurchasing because the process drags on forever). That said, I’m a little hyper sensitive to any issues with cars right now. I test drove the Rogue just to “check it out” with no intention on purchasing so quickly after my Lemon experience but I fell in love with it. It’s roomy, has a ton of great features, crystal clear back up/surround camera, awesome moonroof, great MPG’s, etc etc.  Even though the features and look of the car is great, I noticed little glitches from day one. The cameras would switch on randomly when slowing the car during travel, the automatic breaking warning light would come on and then turn off, the radio was working and then sounded like I was in a tunnel and then resumed playing normally, AC blew hot air when on cool until I turned it down to “Lo”, the touch screen acts crazy here and there, etc etc. For the most part I wrote these things off as “user error” or accepting that maybe the car just acted like this. BUT…today after owning the car for about two weeks/600 miles the emergency breaking malfunction light came on and remained on (I’m talking about the big, bright notice that pops up in your dash cluster). Like the other “glitches” the malfunction light disappeared when I parked, turned off the car and then turned it on again. I realized that the glitches might be a little more than what I originally thought though. Having the malfunction light in addition to the warning symbols prompted me to take the car in to service. I’m currently waiting to find out what the issue is and how long it will take to fix. I also did some more review reading and I have to say that I’m really nervous that the car will have continuing issues. The reviews on this site are fairly positive but if you look around a bit more you find some scary stuff about this car. I really thought there was no possible way that I would have this type of experience with TWO brand new cars within a six month period but here we are. I hope this is just some weird full moon voodoo that gets repaired and never causes me an issue again but I’m really not that confident in that right now. All I’m saying is…be careful!",0.006704375147819519,0.9541215896606445,0.1346515566110611,0.8830889463424683,0.9802206754684448,0.01115849893540144,0.9507438540458679,0.8671523332595825,0.9570159912109375,0.9752694964408875,0.9602821469306946,0.9197772741317749,0.3594039976596832,0.9590249061584473,0.6435908675193787,0.04572440683841705,0.7445357441902161
Rogue,Cars,"Recently traded in my 2016 for the new redesigned 2021 Rogue. The difference is amazing. The build quality has important greatly, styling is upgraded, feels like a much more expensive vehicle. 
Incredible value, very happy with purchase.",0.004747474566102028,0.0067168050445616245,0.8614253997802734,0.07080905884504318,0.30970120429992676,0.005423817317932844,0.1712718904018402,0.028870204463601112,0.12156057357788086,0.9949652552604675,0.07727212458848953,0.8427996039390564,0.007068767212331295,0.05384286493062973,0.35703757405281067,0.005889913532882929,0.003420070745050907
Rogue,Cars,Meets our needs comfortable  stylish love the interior and the ride is super cool. We choose black it is beautiful and cool and super nice,0.9962149858474731,0.8754059672355652,0.9976789355278015,0.9986711740493774,0.9994372129440308,0.9700278043746948,0.9764959216117859,0.8785051107406616,0.9996492266654968,0.8254132866859436,0.9987565279006958,0.9672470092773438,0.1652946025133133,0.7640315294265747,0.5930249691009521,0.4248962998390198,0.8542063236236572
Rogue,Cars,Always have been a huge fan of Rogues but I absolutely LOVE this 3rd generation “upgrade”!  Love the exterior and most of all the interior! The ride is smoother and more quiet as well! I’ve had my Rogue for about a week now and have I put about 700 miles on it and so far so good! 100% would recommend as Nissans have never let me down!,0.9984903335571289,0.8112622499465942,0.9928799271583557,0.9994580745697021,0.9995447993278503,0.9727132320404053,0.9260207414627075,0.9881190061569214,0.9996729493141174,0.9992114901542664,0.9995871186256409,0.9951798915863037,0.06156735494732857,0.5896049737930298,0.30145540833473206,0.18270793557167053,0.8230077028274536
Rogue,Cars,Very spacious and economic . Great choice and great color . I was looking for a family car and this car has everything I need it.,0.9946582913398743,0.6761236190795898,0.999423086643219,0.9990124702453613,0.9982856512069702,0.9851844906806946,0.9832960963249207,0.9379581212997437,0.9328746795654297,0.7331128716468811,0.9209957718849182,0.932147204875946,0.09866239130496979,0.9990062713623047,0.2660115659236908,0.5905389785766602,0.9990721940994263
Rogue,Cars,My first SUV and I am very happy with it.  The technology is amazing and the car rides so smoothly.  So glad I picked the Rogue,0.9921693801879883,0.5782113671302795,0.9955549836158752,0.9943269491195679,0.9893335700035095,0.92020583152771,0.9801949858665466,0.9706337451934814,0.9990078210830688,0.9940183162689209,0.9973493814468384,0.9772355556488037,0.09885349869728088,0.8526278138160706,0.3859286904335022,0.46787697076797485,0.7874617576599121
Rogue,Cars,"It's very dependable even in the winter. The back seats are full size to fit adults comfortably. Large screen for GPS or music, Tac & Digital speedometer.",0.9991418123245239,0.9971112608909607,0.9942205548286438,0.9988242983818054,0.9847403168678284,0.9990291595458984,0.9921340942382812,0.9689505696296692,0.9737914800643921,0.9595189690589905,0.9989192485809326,0.9871516823768616,0.018777726218104362,0.9254124164581299,0.24018946290016174,0.4630535840988159,0.9322401285171509
Rogue,Cars,"I have owned/leased Nissans since 1997. I had a 1997,  2001, 2004 and 2013 Pathfinder. I had a 2007 Xterra, 2011 Rogue, 2016 Murano and the 2019 Rogue SL. I have to say that the 2021 Rogue SL, with the premium package is my best leased Nissan yet. Coming from the 2011 & 2019 Rogue, the 2021 is a BIG improvement. The exterior is beautiful and the interior is so luxurious without the luxurious price tag. I did not think I would like the gear shifter, but I love it, especially now that I have more storage space underneath it and the cup holders are up higher. I have loved the zero gravity seats since my 2013 Pathfinder. OMG, they are so comfortable and the back seats are a little bit higher and I love that too. The back doors opening at a 90 degree angle is like the best thing EVER. The ability  to unlock all the doors from all 4 doors is a great feature as well.  I just leased mine on memorial day, and I am 110% in love. They have made the cabin quieter and even though it is just 11hp more, you can definitely feel the difference. It lagged a bit in the 2019, but not this 2021. Huge difference in acceleration alone! Still log my propilot assist, lane change monitoring and so much more. The wireless connection to my iphone is great too. I just love it! 2021 Boulder Gray Pearl Nissan Rogue SL w/premium package :)",0.9833042621612549,0.9583422541618347,0.994465172290802,0.9987671971321106,0.9958985447883606,0.6898756623268127,0.951187014579773,0.9666780829429626,0.9931352734565735,0.9918856620788574,0.9422200322151184,0.996391236782074,0.09903006255626678,0.4048135280609131,0.9397293329238892,0.2391272634267807,0.1758638620376587
Rogue,Cars,"A nice overall improvement  (gas mileage not included) from my previous 2018 Rogue.  All the ""bells and whistles"" needed to enjoy a comfortable ride from here to there.",0.8847867846488953,0.0487939715385437,0.9789249300956726,0.9623817801475525,0.9553937315940857,0.2987954020500183,0.6608461141586304,0.8860743045806885,0.9914494156837463,0.9064314961433411,0.9090055823326111,0.8261330127716064,0.008481990545988083,0.5591186285018921,0.05601072311401367,0.724888026714325,0.35301312804222107
